PUBLIC ROUTE,TITLE,DESCRIPTION,CANONICAL,INDEXABLE?,STRUCTURED DATA TYPE
"/work/audio-atlas","Audio Atlas | Community / Music — Janhavi Dhote","Audio Atlas: Local music discovery and cross-cultural recommendations.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/audio-atlas","Yes","CreativeWork / SoftwareSourceCode"
"/work/ecoconnect","EcoConnect | Frontend / Community — Janhavi Dhote","EcoConnect: A community platform concept for finding environmental service projects.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/ecoconnect","Yes","CreativeWork / SoftwareSourceCode"
"/work/arduino-password-lock","Arduino Password Lock | Embedded / Security — Janhavi Dhote","Arduino Password Lock: A keypad-and-LCD password check on Arduino.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/arduino-password-lock","Yes","CreativeWork / SoftwareSourceCode"
"/work/orp-probe","ORP Probe | Hardware / Sensing — Janhavi Dhote","ORP Probe: An Arduino water-quality probe with sensor-driven safety indication.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/orp-probe","Yes","CreativeWork / SoftwareSourceCode"
"/work/research-radar","Research Radar | Systems / Research — Janhavi Dhote","Research Radar: A local reader for collecting, deduplicating, organizing, and briefing research sources.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/research-radar","Yes","CreativeWork / SoftwareSourceCode"
"/work/intentguard","IntentGuard | BCI / AI Safety — Janhavi Dhote","IntentGuard: Exploring safer intent translation between BCI decoding and AI-driven actions.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/work/intentguard","Yes","CreativeWork / SoftwareSourceCode"
"/experience/ece1100-peer-leader","Peer Leader | Georgia Tech ECE — Janhavi Dhote","Peer leadership and engineering-education support through the ECE Peer Leader Fellowship.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/ece1100-peer-leader","Yes","WebPage + OrganizationRole"
"/experience/cs4400-uta","Undergraduate Teaching Assistant | Georgia Institute of Technology — Janhavi Dhote","Database systems, SQL, relational design and course support.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/cs4400-uta","Yes","WebPage + OrganizationRole"
"/experience/ece2035-uta","Undergraduate Teaching Assistant | Georgia Institute of Technology — Janhavi Dhote","Programming, debugging and teaching support at the hardware/software boundary.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/ece2035-uta","Yes","WebPage + OrganizationRole"
"/experience/cs2340-uta","Undergraduate Teaching Assistant | Georgia Institute of Technology — Janhavi Dhote","Supported ~150 students across Java/Android projects, debugging, code review, and object-oriented software design.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/cs2340-uta","Yes","WebPage + OrganizationRole"
"/experience/gitmad-roommate-finder","Project Lead — Roommate Finder | GITMAD · Georgia Institute of Technology Mastering Android Development — Janhavi Dhote","Co-led a Georgia Tech mobile-development project group building Roommate Finder.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/gitmad-roommate-finder","Yes","WebPage + OrganizationRole"
"/experience/small-satellite-research-lab","Ground Operations Engineer | Small Satellite Research Laboratory · University of Georgia — Janhavi Dhote","Debugged Linux/GNU Radio SDR pipelines and built low-level C/libpng image encoding and decoding systems using pixel-level manipulation and bit-level payload reconstruction.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/small-satellite-research-lab","Yes","WebPage + OrganizationRole"
"/experience/double-helix","Assistant Teacher | Double Helix STEAM School — Janhavi Dhote","Prepared weekly financial-news material and helped students connect market trends, earnings, and upcoming events to investing strategy.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/double-helix","Yes","WebPage + OrganizationRole"
"/experience/inpharmd","AI / Software Development — Work-Based Learning | InpharmD — Janhavi Dhote","Worked on the patient-facing frontend and cloud integration of a healthcare language-model application through a work-based-learning placement.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/inpharmd","Yes","WebPage + OrganizationRole"
"/experience/digitivy","Software Development — Work-Based Learning | Digitivy Solutions — Janhavi Dhote","Worked across React interfaces, Node.js backend APIs, database-backed application flows, and AWS deployment workflows.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/digitivy","Yes","WebPage + OrganizationRole"
"/experience/techno-titans","Robotics Programmer / Subsystems Programmer | Techno Titans Robotics — Janhavi Dhote","Built Java/WPILib drivetrain software and hardware/software testbeds. Mentored ~20 programmers on debugging and subsystem design.","https://j-anhavi.github.io/Janhavi-Personal-Portfolio/experience/techno-titans","Yes","WebPage + OrganizationRole"
